finishing num,horse num,horse name,horse id,jockey,trainer,actual weight,declare weight,draw,length behind win,running position 1,running position 2,running position 3,running position 4,finish time,win odds,running position 5,running position 6,race id,length
1,10,四季勁(T032),T032,郭能,賀賢,125,1048,10,-,12,7,1,,1.09.35,9.4,,,20160903-1,1200
2,2,永常喜(V107),V107,莫雷拉,李易達,129,1120,3,1-1/4,1,1,2,,1.09.56,1.8,,,20160903-1,1200
3,14,有緣好馬(S359),S359,柏寶,蘇偉賢,119,1021,2,1-1/2,4,4,3,,1.09.59,16,,,20160903-1,1200
4,13,幸運坊(T004),T004,杜利萊,鄭俊偉,120,1054,14,3,14,13,4,,1.09.84,76,,,20160903-1,1200
5,9,多多囍(V032),V032,羅理雅,沈集成,125,1086,7,3-1/2,9,9,5,,1.09.89,70,,,20160903-1,1200
6,1,自由哥(T123),T123,寶遜,高伯新,129,1099,8,4-1/2,5,5,6,,1.10.07,19,,,20160903-1,1200
7,7,好友心(T079),T079,黃皓楠,文家良,119,1255,5,4-1/2,2,2,7,,1.10.08,20,,,20160903-1,1200
8,5,天外之天(L247),L247,蔡明紹,鄭俊偉,128,1154,1,5-3/4,3,3,8,,1.10.27,10,,,20160903-1,1200
9,6,領先直前(S193),S193,蘇狄雄,何良,125,1034,4,6-1/4,6,6,9,,1.10.34,46,,,20160903-1,1200
10,8,金銀花(P364),P364,潘頓,徐雨石,126,1177,12,6-3/4,13,11,10,,1.10.41,7.6,,,20160903-1,1200
11,11,荷蘭風車(T288),T288,吳嘉晉,鄭俊偉,117,1034,13,7,10,14,11,,1.10.48,84,,,20160903-1,1200
12,3,歡樂三笑(V162),V162,祈普敦,霍利時,129,1286,6,7,11,8,12,,1.10.49,66,,,20160903-1,1200
13,4,銀影大亨(T161),T161,蔣嘉琦,告東尼,122,1158,11,7-1/2,8,12,13,,1.10.56,16,,,20160903-1,1200
14,12,齊齊歡欣(P420),P420,梁家俊,告達理,119,1090,9,9-3/4,7,10,14,,1.10.92,37,,,20160903-1,1200
1,3,紅牡丹(T014),T014,羅理雅,徐雨石,133,1110,13,-,13,9,5,1,1.22.91,67,,,20160903-2,1400
2,1,喜盈豐(T023),T023,何澤堯,呂健威,131,1101,11,1-1/4,2,2,1,2,1.23.07,6.9,,,20160903-2,1400
3,14,踏雪名駒(S409),S409,黃皓楠,告達理,109,1075,2,2-1/4,9,5,6,3,1.23.21,20,,,20160903-2,1400
