finishing num,horse num,horse name,horse id,jockey,trainer,actual weight,declare weight,draw,length behind win,running position 1,running position 2,running position 3,running position 4,finish time,win odds,running position 5,running position 6,race id,length
1,10,SEASONS KING(T032),T032,N Callan,D J Hall,125,1048,10,-,12,7,1,,1.09.35,9.4,,,20160903-1
2,2,HAPPY SOUND(V107),V107,J Moreira,A Lee,129,1120,3,2001/1/4,1,1,2,,1.09.56,1.8,,,20160903-1
3,14,NATURAL FRIENDSHIP(S359),S359,B Prebble,W Y So,119,1021,2,2001/1/2,4,4,3,,1.09.59,16,,,20160903-1
4,13,LUCKY PLACE(T004),T004,O Doleuze,C W Chang,120,1054,14,3,14,13,4,,1.09.84,76,,,20160903-1
5,9,NO LAUGHING MATTER(V032),V032,N Rawiller,C S Shum,125,1086,7,2003/1/2,9,9,5,,1.09.89,70,,,20160903-1
6,1,FREE NOVEMBER(T123),T123,O Bosson,R Gibson,129,1099,8,2004/1/2,5,5,6,,1.10.07,19,,,20160903-1
7,7,FRIENDS FOREVER(T079),T079,H N Wong,K L Man,119,1255,5,2004/1/2,2,2,7,,1.10.08,20,,,20160903-1
8,5,REAL SUPREME(L247),L247,M Chadwick,C W Chang,128,1154,1,2005/3/4,3,3,8,,1.10.27,10,,,20160903-1
9,6,BE THERE AHEAD(S193),S193,T H So,L Ho,125,1034,4,2006/1/4,6,6,9,,1.10.34,46,,,20160903-1
10,8,GOLD PRECIOUS(P364),P364,Z Purton,Y S Tsui,126,1177,12,2006/3/4,13,11,10,,1.10.41,7.6,,,20160903-1
11,11,DUTCH WINDMILL(T288),T288,K C Ng,C W Chang,117,1034,13,7,10,14,11,,1.10.48,84,,,20160903-1
12,3,HAPPY THREE(V162),V162,S Clipperton,D E Ferraris,129,1286,6,7,11,8,12,,1.10.49,66,,,20160903-1
13,4,SILVER GATSBY(T161),T161,K K Chiong,A S Cruz,122,1158,11,2007/1/2,8,12,13,,1.10.56,16,,,20160903-1
14,12,CHANS DELIGHT(P420),P420,K C Leung,D Cruz,119,1090,9,2009/3/4,7,10,14,,1.10.92,37,,,20160903-1
1,3,RED PEONY(T014),T014,N Rawiller,Y S Tsui,133,1110,13,-,13,9,5,1,1.22.91,67,,,20160903-2
2,1,HAY GO LUCKY(T023),T023,C Y Ho,K W Lui,131,1101,11,2001/1/4,2,2,1,2,1.23.07,6.9,,,20160903-2
3,14,SNOWHOOVES(S409),S409,H N Wong,D Cruz,109,1075,2,2002/1/4,9,5,6,3,1.23.21,20,,,20160903-2
4,5,BRILLIANT MONKEYS(S283),S283,O Doleuze,C W Chang,132,1129,1,2002/1/2,4,3,3,4,1.23.27,15,,,20160903-2
5,8,GLORY SUNSHINE(S313),S313,Z Purton,W Y So,125,1098,10,2002/1/2,3,4,4,5,1.23.30,9.4,,,20160903-2
6,10,PLAIN BLUE BANNER(S070),S070,D Whyte,D E Ferraris,123,1074,5,2003/1/4,6,7,9,6,1.23.43,10,,,20160903-2
7,11,THIS IS GLADIATOR(T261),T261,H T Mo,C S Shum,112,1059,4,4,5,6,7,7,1.23.55,28,,,20160903-2
8,7,DOUBLE POINT(S246),S246,N Callan,C Fownes,125,1017,8,4,11,12,8,8,1.23.56,29,,,20160903-2
9,9,GOLDEN PARTNERS(S286),S286,K Teetan,A T Millard,125,1081,14,2004/1/2,14,14,10,9,1.23.63,14,,,20160903-2
10,2,PRINCE FALCON(T144),T144,J Moreira,J Moore,133,1050,7,2006/3/4,7,11,12,10,1.24.00,2.2,,,20160903-2
11,4,SPICY DOUBLE(T393),T393,H W Lai,K L Man,133,1118,9,7,12,13,14,11,1.24.02,68,,,20160903-2
12,6,DYNAMIC VOYAGE(P066),P066,K K Chiong,L Ho,125,1122,3,2007/1/2,10,8,11,12,1.24.09,7.7,,,20160903-2
13,13,ENJOY THE GAME(S062),S062,K C Leung,P F Yiu,118,1185,12,2009/3/4,8,10,13,13,1.24.45,99,,,20160903-2
14,12,FOUR FOUR FIVE(P445),P445,K C Ng,T K Ng,116,1133,6,2017/1/4,1,1,2,14,1.25.67,99,,,20160903-2
1,6,LUCKY YEAR(T245),T245,J Moreira,C S Shum,117,1135,2,-,4,2,1,,1.08.19,2.8,,,20160903-3
2,11,KEY WITNESS(S212),S212,M Chadwick,A S Cruz,113,1180,6,3月4日,11,10,2,,1.08.33,21,,,20160903-3
3,5,BLIZZARD(S398),S398,K Teetan,P F Yiu,117,1129,4,1,6,9,3,,1.08.36,3.5,,,20160903-3
4,8,I'M IN CHARGE(S164),S164,T H So,C Fownes,111,1063,8,2001/1/4,5,4,4,,1.08.39,33,,,20160903-3
5,1,PACKING PINS(S386),S386,H W Lai,P F Yiu,133,1160,3,2001/3/4,7,6,5,,1.08.49,13,,,20160903-3
