finishing num,horse num,horse name,horse id,jockey,trainer,actual weight,declare weight,draw,length behind win,running position 1,running position 2,running position 3,running position 4,finish time,win odds,running position 5,running position 6,race id,length
1,10.0,SEASONS KING(T032),T032,N Callan,D J Hall,125,1048,10,-,12.0,7.0,1.0,,1.09.35,9.4,,,20160903-1,1200
2,2.0,HAPPY SOUND(V107),V107,J Moreira,A Lee,129,1120,3,2001/1/4,1.0,1.0,2.0,,1.09.56,1.8,,,20160903-1,1200
3,14.0,NATURAL FRIENDSHIP(S359),S359,B Prebble,W Y So,119,1021,2,2001/1/2,4.0,4.0,3.0,,1.09.59,16,,,20160903-1,1200
4,13.0,LUCKY PLACE(T004),T004,O Doleuze,C W Chang,120,1054,14,3,14.0,13.0,4.0,,1.09.84,76,,,20160903-1,1200
5,9.0,NO LAUGHING MATTER(V032),V032,N Rawiller,C S Shum,125,1086,7,2003/1/2,9.0,9.0,5.0,,1.09.89,70,,,20160903-1,1200
6,1.0,FREE NOVEMBER(T123),T123,O Bosson,R Gibson,129,1099,8,2004/1/2,5.0,5.0,6.0,,1.10.07,19,,,20160903-1,1200
7,7.0,FRIENDS FOREVER(T079),T079,H N Wong,K L Man,119,1255,5,2004/1/2,2.0,2.0,7.0,,1.10.08,20,,,20160903-1,1200
8,5.0,REAL SUPREME(L247),L247,M Chadwick,C W Chang,128,1154,1,2005/3/4,3.0,3.0,8.0,,1.10.27,10,,,20160903-1,1200
9,6.0,BE THERE AHEAD(S193),S193,T H So,L Ho,125,1034,4,2006/1/4,6.0,6.0,9.0,,1.10.34,46,,,20160903-1,1200
10,8.0,GOLD PRECIOUS(P364),P364,Z Purton,Y S Tsui,126,1177,12,2006/3/4,13.0,11.0,10.0,,1.10.41,7.6,,,20160903-1,1200
11,11.0,DUTCH WINDMILL(T288),T288,K C Ng,C W Chang,117,1034,13,7,10.0,14.0,11.0,,1.10.48,84,,,20160903-1,1200
12,3.0,HAPPY THREE(V162),V162,S Clipperton,D E Ferraris,129,1286,6,7,11.0,8.0,12.0,,1.10.49,66,,,20160903-1,1200
13,4.0,SILVER GATSBY(T161),T161,K K Chiong,A S Cruz,122,1158,11,2007/1/2,8.0,12.0,13.0,,1.10.56,16,,,20160903-1,1200
14,12.0,CHANS DELIGHT(P420),P420,K C Leung,D Cruz,119,1090,9,2009/3/4,7.0,10.0,14.0,,1.10.92,37,,,20160903-1,1200
1,3.0,RED PEONY(T014),T014,N Rawiller,Y S Tsui,133,1110,13,-,13.0,9.0,5.0,1.0,1.22.91,67,,,20160903-2,1400
2,1.0,HAY GO LUCKY(T023),T023,C Y Ho,K W Lui,131,1101,11,2001/1/4,2.0,2.0,1.0,2.0,1.23.07,6.9,,,20160903-2,1400
3,14.0,SNOWHOOVES(S409),S409,H N Wong,D Cruz,109,1075,2,2002/1/4,9.0,5.0,6.0,3.0,1.23.21,20,,,20160903-2,1400
4,5.0,BRILLIANT MONKEYS(S283),S283,O Doleuze,C W Chang,132,1129,1,2002/1/2,4.0,3.0,3.0,4.0,1.23.27,15,,,20160903-2,1400
5,8.0,GLORY SUNSHINE(S313),S313,Z Purton,W Y So,125,1098,10,2002/1/2,3.0,4.0,4.0,5.0,1.23.30,9.4,,,20160903-2,1400
6,10.0,PLAIN BLUE BANNER(S070),S070,D Whyte,D E Ferraris,123,1074,5,2003/1/4,6.0,7.0,9.0,6.0,1.23.43,10,,,20160903-2,1400
7,11.0,THIS IS GLADIATOR(T261),T261,H T Mo,C S Shum,112,1059,4,4,5.0,6.0,7.0,7.0,1.23.55,28,,,20160903-2,1400
8,7.0,DOUBLE POINT(S246),S246,N Callan,C Fownes,125,1017,8,4,11.0,12.0,8.0,8.0,1.23.56,29,,,20160903-2,1400
9,9.0,GOLDEN PARTNERS(S286),S286,K Teetan,A T Millard,125,1081,14,2004/1/2,14.0,14.0,10.0,9.0,1.23.63,14,,,20160903-2,1400
10,2.0,PRINCE FALCON(T144),T144,J Moreira,J Moore,133,1050,7,2006/3/4,7.0,11.0,12.0,10.0,1.24.00,2.2,,,20160903-2,1400
11,4.0,SPICY DOUBLE(T393),T393,H W Lai,K L Man,133,1118,9,7,12.0,13.0,14.0,11.0,1.24.02,68,,,20160903-2,1400
12,6.0,DYNAMIC VOYAGE(P066),P066,K K Chiong,L Ho,125,1122,3,2007/1/2,10.0,8.0,11.0,12.0,1.24.09,7.7,,,20160903-2,1400
13,13.0,ENJOY THE GAME(S062),S062,K C Leung,P F Yiu,118,1185,12,2009/3/4,8.0,10.0,13.0,13.0,1.24.45,99,,,20160903-2,1400
14,12.0,FOUR FOUR FIVE(P445),P445,K C Ng,T K Ng,116,1133,6,2017/1/4,1.0,1.0,2.0,14.0,1.25.67,99,,,20160903-2,1400
1,6.0,LUCKY YEAR(T245),T245,J Moreira,C S Shum,117,1135,2,-,4.0,2.0,1.0,,1.08.19,2.8,,,20160903-3,1200
2,11.0,KEY WITNESS(S212),S212,M Chadwick,A S Cruz,113,1180,6,3月4日,11.0,10.0,2.0,,1.08.33,21,,,20160903-3,1200
3,5.0,BLIZZARD(S398),S398,K Teetan,P F Yiu,117,1129,4,1,6.0,9.0,3.0,,1.08.36,3.5,,,20160903-3,1200
4,8.0,I'M IN CHARGE(S164),S164,T H So,C Fownes,111,1063,8,2001/1/4,5.0,4.0,4.0,,1.08.39,33,,,20160903-3,1200
5,1.0,PACKING PINS(S386),S386,H W Lai,P F Yiu,133,1160,3,2001/3/4,7.0,6.0,5.0,,1.08.49,13,,,20160903-3,1200
6,7.0,BORN IN CHINA(T103),T103,D Whyte,K W Lui,116,1069,7,2002/1/4,9.0,5.0,6.0,,1.08.56,12,,,20160903-3,1200
7,9.0,DIVINE BOY(T163),T163,K C Leung,Y S Tsui,113,1073,1,3,8.0,8.0,7.0,,1.08.66,41,,,20160903-3,1200
8,4.0,AMBER SKY(N241),N241,H T Mo,P F Yiu,109,1192,10,2003/1/4,1.0,1.0,8.0,,1.08.69,48,,,20160903-3,1200
9,10.0,GOLDEN HARVEST(N236),N236,K K Chiong,A T Millard,106,1167,9,2005/1/4,2.0,3.0,9.0,,1.09.05,82,,,20160903-3,1200
10,3.0,DASHING FELLOW(S284),S284,S Clipperton,J Moore,122,1166,5,2005/1/2,3.0,7.0,10.0,,1.09.05,7.7,,,20160903-3,1200
11,2.0,DUNDONNELL(S110),S110,Z Purton,C Fownes,126,1172,11,2013/1/4,10.0,11.0,11.0,,1.10.30,6.1,,,20160903-3,1200
1,1.0,BEAUTY MASTER(V135),V135,Z Purton,A S Cruz,133,1104,5,-,3.0,2.0,1.0,,0.56.35,5,,,20160903-4,1000
2,11.0,ART OF SUCCESS(P231),P231,M L Yeung,C W Chang,118,1131,2,2001/1/4,6.0,5.0,2.0,,0.56.52,6.7,,,20160903-4,1000
3,14.0,WINNING TALENT(S256),S256,K Teetan,D E Ferraris,116,1032,9,2001/1/4,11.0,11.0,3.0,,0.56.54,15,,,20160903-4,1000
4,12.0,SIGHT SEEING(S291),S291,B Prebble,W Y So,119,1106,6,2001/1/2,4.0,4.0,4.0,,0.56.59,21,,,20160903-4,1000
5,9.0,MASSIVE MOVE(T073),T073,K C Leung,L Ho,119,1087,1,2002/1/4,2.0,1.0,5.0,,0.56.71,6.2,,,20160903-4,1000
6,4.0,DIAMOND BIT(T153),T153,N Rawiller,Y S Tsui,125,1109,7,2002/1/4,8.0,7.0,6.0,,0.56.72,11,,,20160903-4,1000
7,7.0,PERPETUAL JOYANCE(V229),V229,J Moreira,J Size,123,1124,3,2002/1/2,7.0,10.0,7.0,,0.56.73,7.8,,,20160903-4,1000
