第1场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
1,1,要風得鋒(P063),潘明輝,高伯新,126,1261,4,-,111,0.57.49,8.4
2,11,勁駿皇駒(S051),巫顯東,何良,108,1176,7,2001/1/4,882,0.57.67,11
3,2,雷超(V414),梁家俊,霍利時,129,1026,6,2001/1/4,463,0.57.68,4.4
4,7,戈寶(A101),李寶利,告東尼,125,1113,3,2002/1/2,774,0.57.87,6.9
5,4,永常喜(V107),莫雷拉,方嘉柏,128,1185,2,2002/1/2,535,0.57.89,3.6
6,9,好富有(A026),黃皓楠,容天鵬,113,1136,8,2003/1/2,12126,0.58.04,17
7,3,泡泡達人(T346),羅理雅,沈集成,130,1060,11,2004/1/2,997,0.58.19,15
8,12,非凡者(T089),田泰安,徐雨石,113,1069,9,2004/1/2,11118,0.58.19,34
9,6,一定勁(T435),何澤堯,告達理,124,1205,5,5,10109,0.58.27,99
10,5,欖球鑽石(S432),沈拿,苗禮德,126,1062,12,2005/1/2,2210,0.58.36,10
11,8,創意寶(S185),柏寶,鄭俊偉,124,1161,10,2006/1/4,3411,0.58.49,13
12,10,有福氣(V389),楊明綸,李易達,112,1189,1,7,6512,0.58.61,28
,,,,,,,,,,,
第2场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
1,3,包裝騎士(T230),潘明輝,姚本輝,117,1212,6,-,2211,1.40.50,8
2,1,勝得威(A025),潘頓,告東尼,133,1129,4,頸位,1122,1.40.56,1.9
3,7,比卡超(S298),梁家俊,霍利時,113,1141,2,2001/1/4,4433,1.40.71,12
4,5,赤兔寶駒(A115),李寶利,方嘉柏,117,1119,5,2001/3/4,5554,1.40.78,8.5
5,2,川河寶駒(T375),史卓豐,苗禮德,127,991,1,2001/3/4,3345,1.40.79,3.6
6,6,英勇大師(S212),巫顯東,告東尼,108,1230,3,8,6666,1.41.78,10
WV,4,哈蝦巴爸(A002),祈普敦,蔡約翰,119,1067,---,---,-,---,---
,,,,,,,,,,,
第3场,,,,,,,,,,,
名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率
1,3,驍武(P097),布達德,霍利時,132,1133,3,-,561,1.10.50,9.7
2,2,極速前進(V390),潘頓,容天鵬,133,1213,2,頸位,212,1.10.56,1.9
3,1,鐵男(V264),莫雷拉,蔡約翰,133,1108,7,2001/1/2,653,1.10.75,10
4,6,海龍(B036),楊明綸,李易達,123,1180,1,2,434,1.10.82,10
5,11,喝采(A023),蔡明紹,告達理,123,1097,9,2002/1/4,10105,1.10.87,9.6
6,5,神州俊馬(A282),祈普敦,蘇保羅,126,1146,10,2002/1/2,996,1.10.89,12
7,9,多財多福(A360),田泰安,姚本輝,124,1045,4,2002/1/2,877,1.10.90,31
8,10,七星拱照(B121),羅理雅,麥菲文,124,1064,5,2002/3/4,348,1.10.92,76
9,12,天皇巨星(V367),史卓豐,高伯新,122,1208,6,2002/3/4,11129,1.10.94,10
10,8,青年軍(B042),杜利萊,方嘉柏,124,1043,12,2005/3/4,121110,1.11.42,99
11,7,珍珠寶(B117),郭能,蘇偉賢,125,1098,11,2006/3/4,1211,1.11.58,17
